Rank,Bib,Name,Nat,P1,P2,S1,S2,num_Penalties,Time,WC_points
1,5,BRAISAZ Justine,FRA,0,0,1,0,1,37:19.4,60
2,21,KRYUKO Iryna,BLR,0,0,0,0,0,+11.2,54
3,11,DAHLMEIER Laura,GER,0,1,0,1,2,+19.9,48
4,1,KUZMINA Anastasiya,SVK,2,0,1,1,4,+25.5,43
5,16,HINZ Vanessa,GER,0,0,1,0,1,+28.4,40
6,27,CHEVALIER Anais,FRA,0,0,0,1,1,+30.1,38
7,9,DZHIMA Yuliia,UKR,0,1,0,0,1,+30.7,36
8,14,YURLOVA-PERCHT Ekaterina,RUS,1,0,0,1,2,+34.8,34
9,6,WIERER Dorothea,ITA,0,0,1,1,2,+35.9,32
10,19,HILDEBRAND Franziska,GER,1,0,0,0,1,+36.2,31
11,10,OLSBU Marte,NOR,1,0,1,0,2,+49.2,30
12,3,HERRMANN Denise,GER,0,0,0,3,3,+52.1,29
13,12,BESCOND Anais,FRA,2,1,0,1,4,+53.3,28
14,2,MAKARAINEN Kaisa,FIN,0,2,0,1,3,+53.3,27
15,7,SEMERENKO Valj,UKR,0,1,0,0,1,+1:04.4,26
16,24,AYMONIER Celia,FRA,2,0,0,1,3,+1:10.9,25
17,8,SEMERENKO Vita,UKR,0,0,1,2,3,+1:12.9,24
18,23,AKIMOVA Tatiana,RUS,1,0,0,0,1,+1:15.9,23
19,15,GASPARIN Selina,SUI,1,1,1,0,3,+1:16.2,22
20,26,DUNKLEE Susan,USA,1,0,1,1,3,+1:16.3,21
21,17,HAMMERSCHMIDT Maren,GER,0,0,2,2,4,+1:19.3,20
22,20,DORIN HABERT Marie,FRA,1,1,0,0,2,+1:24.8,18
23,13,VITKOVA Veronika,CZE,1,0,1,1,3,+1:29.0,16
24,22,LAUKKANEN Mari,FIN,1,1,1,1,4,+1:33.1,14
25,30,SANFILIPPO Federica,ITA,0,0,2,1,3,+1:53.3,12
26,18,NOWAKOWSKA Weronika,POL,2,2,0,0,4,+2:17.8,10
27,25,GUZIK Krystyna,POL,2,1,0,0,3,+2:18.4,8
28,29,LUNDER Emma,CAN,1,0,0,0,1,+2:21.4,6
29,4,VITTOZZI Lisa,ITA,1,2,0,1,4,+2:27.9,4
30,28,PUSKARCIKOVA Eva,CZE,2,2,0,0,4,+3:14.5,2
